person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
317,MUHAMMAD BASHIR GALADANCHI,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
361,OLUMIDE BABATUNDE OSOBA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
382,ROBINSON EDET UWAK,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
406,SIMON YAKUBU ARABO,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
364,OMOSULE ENIOTIOLORUNDA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
141,CHUDI PATRICK UWAZURIKE,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
158,DEBO JEROME OLOGUNAGBA,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
753,Omoregie Ogbeide-Ihama,"",Chairman,Culture & Tourism Committee (Reps),Legislative Committee - Federal Reps,,"",2019-06
918,CHIEF JEROME AMADI EKE,"",Vice-Chairman,Industry Committee (Reps),Legislative Committee - Federal Reps,,"",2019-06
167,EMMANUEL YISA ORKER-JEV,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
32,ADAMU OCHEPO ENTONU,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
391,SAMSON OKWU,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
264,KENNETH EDET ACHIBONG,"",Chairman,Air Force Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
76,ALKALI SAIDU AHMED,"",Chairman,Air Force Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
310,MOHAMMED UMARU BAGO,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
3,ABAYOMI DAUDA KAKO ARE,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
9,ABDULLAHI MOHAMMED DAN-ALKALI,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
17,ABDULSALAM ADAMU,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
366,OSSAI NICHOLAS OSSAI,"",Chairman,Ethics & Privileges Committee (Reps),Legislative Committee - Federal Reps,,"",2019-05
77,ALLIU BABATUNDE KAZEEM,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
79,AMINU PUNWET JONATHAN,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
332,NASIRU BABALLE ILA,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
146,CYRIL EGWUATU,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
160,EDDIE MBADIWE IFEANYICHUKWU,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
375,PETER OHIOZOJE AKPATASON,"",Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
249,JAGABA ADAMS JAGABA,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
286,MADAKI AHMED GOLOLO,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
125,BLESSING IBIBA NSIEGBE,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
175,JAMES ABIODUN FALEKE,"",Chairman,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
348,OGBABURHON OKPOVIEKPURAI AUSTI,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
368,OYETUNDE OLADIMEJI OJO,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
382,ROBINSON EDET UWAK,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
393,SAMUEL BABATUNDE ADEJARE,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
403,SHU'AIBU UMAR GALADIMA,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
402,SHUAIBU GWANDU GOBIR,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
456,YAKUB ABIOUDUN AKANNI BALOGUN,"",Committee Member,Anti-Corruption Committee Reps,Legislative Committee - Federal Reps,,"",2015-05-29
54,AIYEDUN OLAYINKA AKEEM,"",Committee Member,Appropriations Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
285,MACCIDO AHMAD MUHAMMAD,"",Chairman,Appropriations Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
6,ABDUL EBBO IBRAHIM,"",Committee Member,Appropriations Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
53,AISHA AHMED DAHIRU,"",Committee Member,Appropriations Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
315,MUAZU B/TUDU LAWAL,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
461,YUSSUFF LASUN SULAIMON,"",Committee Member,Appropriations Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
278,LAWAL YAHAYA GUMAU,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
391,SAMSON OKWU,"",Committee Member,Constituency Outreach Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05
73,ALIYU BETARA MUKTAR,"",Chairman,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
415,SYLVESTER O OGBAGA,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
318,MUHTARI MUHAMMAD CHIROMAWA,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
334,NASIRU ZANGON DAURA SANI,"",Committee Member,Army Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
414,SUNDAY STEVE KARIM,"",Committee Member,Civil Societies and Development Partners Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
