person_id,person_name,start_date,end_date,ptm_id,party_id,term_id,id,party,party_subtitle,party_role,organisation_name,organisation_subtitle,organisation_role,area
761,BENJAMIN IOREMBER WAYO,2007-05-29,2011-05-29,6,6416,2007,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
761,BENJAMIN IOREMBER WAYO,2011-05-29,2015-05-29,7,6416,2011,6417,All Progressives Congress (APC),"",Member,House of Representatives,"",Federal Representative,Kwande/Ushongo
49,AHMED FONS NWANGUBI,2011-05-29,2015-05-29,0,2908,2011,3210,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Mayo Belwa/Ganye/Jada /Toungo
134,CHIZOR LAMBERT OBIDIGWE,2011-05-29,2015-05-29,0,2951,2011,3274,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Oyi/Ayamelum
789,ONWUBUARIA KINSLEY OBINNA,1979-05-29,1983-05-29,0,6483,1979,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,1983-05-29,1992-05-29,1,6483,1983,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,1992-05-29,1998-05-29,2,6483,1992,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,1998-05-29,1999-05-29,3,6483,1998,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,1999-05-29,2003-05-29,4,6483,1999,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,2003-05-29,2007-05-29,5,6483,2003,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,2007-05-29,2011-05-29,6,6483,2007,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
789,ONWUBUARIA KINSLEY OBINNA,2011-05-29,2015-05-29,7,6483,2011,6484,Peoples Democratic Party,"",Member,House of Representatives,"",Federal Representative,Isiala Mbano/Okigwe/Onuimo
39,ADEWUSI TUNDE RAZAQ,2003,2003-05-29,0,3173,1999,2202,PPN,"",Member,House of Representatives,"",Federal Representative,
39,ADEWUSI TUNDE RAZAQ,2003-05-29,2007-05-29,1,3173,2003,2202,PPN,"",Member,House of Representatives,"",Federal Representative,
39,ADEWUSI TUNDE RAZAQ,2007-05-29,2011-05-29,2,3173,2007,2203,PPN,"",Member,House of Representatives,"",Federal Representative,
39,ADEWUSI TUNDE RAZAQ,2011-05-29,2015-05-29,3,3173,2011,3205,PPN,"",Member,House of Representatives,"",Federal Representative,Egbado North/Imeko Afon
